Sample,Location,Borehole,Depth,Soil bulk density (kN/m3),,Soil dry density (kN/m3),Field resistivity  (ρ),Lab. Resistivity  (ρa)
86,,,1.0,16.33,1.67,10.69,139.39,260.84
87,,,1.5,16.09,1.64,12.96,48.54,55.23
88,,,2.0,17.00,1.73,9.89,118.45,40.54
89,,,2.5,18.03,1.84,13.49,123.87,66.35
90,,,3.0,16.43,1.68,11.56,39.00,46.97
91,PUNCAK - 1,BH 16,0.5,18.45,1.88,15.39,1960.61,2059.67
92,,,1.0,17.09,1.74,12.88,2658.13,2622.00
93,,,1.5,20.18,2.06,16.30,1051.00,1714.05
94,,,2.0,19.65,2.00,15.20,1166.31,1994.47
95,,,2.5,20.18,2.06,16.37,1040.79,1538.49
96,,,3.0,19.42,1.98,16.00,1077.39,1830.37
97,PUNCAK - 2,BH 17,0.5,18.13,1.85,15.43,878.03,2483.99
98,,,1.0,16.58,1.69,13.14,1027.43,2012.40
99,,,1.5,19.59,2.00,15.97,1159.87,1368.26
100,,,2.0,19.01,1.94,15.27,965.85,2020.62
101,,,2.5,19.74,2.01,15.56,996.01,2212.13
102,,,3.0,20.10,2.05,16.83,1012.35,1521.14
103,HUTAN MELINTANG - 1,BH 18,0.5,13.95,1.42,10.02,42.83,162.49
104,,,1.0,13.23,1.35,6.97,29.91,81.37
105,,,1.5,13.38,1.36,6.01,22.07,11.94
106,,,2.0,13.03,1.33,5.04,31.56,7.10
107,,,2.5,13.03,1.33,5.26,40.68,5.31
108,,,3.0,13.49,1.38,5.76,59.22,4.34
109,HUTAN MELINTANG - 2,BH 19,0.5,12.80,1.31,7.83,7.24,166.40
110,,,1.0,14.64,1.49,8.48,19.42,69.11
111,,,1.5,12.74,1.30,5.62,14.28,11.91
112,,,2.0,12.67,1.29,5.21,51.66,7.27
113,,,2.5,14.01,1.43,6.02,27.81,2.60
114,,,3.0,13.11,1.34,5.42,14.08,4.79
115,KLANG - 1,BH 20,1.0,10.04,1.02,7.09,106.39,383.46
116,,,2.5,12.93,1.32,5.45,9.43,12.77
117,,,3.0,12.70,1.29,5.51,6.60,10.22
118,KLANG - 2,BH 21,1.0,16.60,1.69,12.84,88.29,248.02
119,,,1.5,11.41,1.16,4.35,9.90,51.57
120,,,2.0,13.58,1.38,5.91,76.88,22.36
121,,,2.5,13.00,1.33,5.42,56.56,10.43
122,,,3.0,12.38,1.26,5.03,0.66,7.74
123,SUNGKAI - 1,BH 22,0.5,14.52,1.48,12.68,158.67,77.13
124,,,1.0,14.51,1.48,11.16,144.11,448.49
125,,,1.5,17.16,1.75,12.38,241.81,453.49
126,,,2.0,15.86,1.62,11.39,223.63,4738.38
127,,,2.5,17.83,1.82,13.76,192.73,569.62
128,,,3.0,17.88,1.82,15.03,255.82,1328.42
129,SUNGKAI - 2,BH 23,0.5,12.63,1.29,10.10,391.81,489.55
130,,,1.0,13.06,1.33,9.80,423.54,803.87
131,,,1.5,15.95,1.63,12.05,549.16,853.31
132,,,2.0,16.84,1.72,11.63,587.05,493.31
133,,,2.5,16.14,1.65,11.60,606.41,93.64
134,,,3.0,16.84,1.72,15.55,562.73,3488.91
135,KOTA KUALA MUDA -1,BH 24,0.5,17.09,1.74,13.77,9.37,5.48
136,,,1.0,14.13,1.44,8.22,37.12,1.83
137,,,1.5,14.88,1.52,7.80,7.82,0.84
138,,,2.0,14.90,1.52,8.63,24.26,0.72
139,,,2.5,13.99,1.43,6.64,103.25,0.54
140,,,3.0,14.23,1.45,10.31,79.73,0.50
141,KOTA KUALA MUDA -2,BH 25,0.5,19.47,1.99,15.94,23.65,4.59
142,,,1.0,14.28,1.46,7.84,49.37,1.11
143,,,1.5,13.83,1.41,6.66,71.55,0.57
144,,,2.0,14.26,1.45,7.74,60.13,0.46
145,,,2.5,13.71,1.40,8.79,39.24,0.57
146,,,3.0,14.86,1.52,7.55,20.11,0.57
147,CYBERJAYA -1,,1.0,16.61,1.69,13.38,,206.44
148,,,2.5,14.84,1.51,10.90,,61.42
149,,,3.0,12.10,1.23,2.05,,273.39
150,CYBERJAYA -2,BH 27,0.5,18.20,1.86,14.77,,64.17
151,,,1.0,17.99,1.83,5.59,,249.24
152,,,3.0,17.88,1.82,15.21,,60.18
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,16.41,1.67,12.30,,1133.26
154,,,1.0,16.87,1.72,12.93,,3957.42
155,,,1.5,17.46,1.78,13.21,,4660.14
156,,,2.0,19.04,1.94,15.40,,4335.96
157,,,2.5,16.31,1.66,12.49,,777.09
158,,,3.0,18.20,1.86,14.47,,2927.41
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,14.67,1.50,10.78,,1910.48
160,,,1.0,15.94,1.63,11.97,,228.94
161,,,1.5,16.77,1.71,12.52,,6560.99
162,,,2.0,16.46,1.68,12.40,,3196.38
163,MELAKA - 1,BH 30,0.5,17.75,1.81,14.50,168.20,155.02
164,,,1.0,15.41,1.57,8.85,108.08,15.18
165,,,1.5,15.00,1.53,9.33,163.16,8.21
166,,,2.0,13.16,1.34,6.90,607.85,4.40
167,,,2.5,13.81,1.41,7.02,8.80,2.50
168,,,3.0,13.30,1.36,6.64,766.81,2.02
169,MELAKA - 2,BH 31,0.5,20.19,2.06,18.10,19.19,17.57
170,,,1.0,20.31,2.07,16.34,13.06,15.94
171,,,1.5,14.67,1.50,8.81,78.11,4.30
172,,,2.0,15.13,1.54,8.82,24.41,4.61
173,,,2.5,13.94,1.42,7.45,12.84,2.92
174,,,3.0,13.87,1.41,7.23,21.02,1.86
175,PERLIS - 1,BH 32,0.5,16.46,1.68,14.80,2.87,4.14
176,,,1.0,15.11,1.54,8.81,23.03,0.89
177,,,1.5,15.07,1.54,8.44,24.18,1.38
178,,,2.0,13.88,1.42,6.42,3.46,0.45
179,,,2.5,14.13,1.44,7.98,56.16,0.48
180,,,3.0,14.02,1.43,7.53,30.16,0.44
181,PERLIS - 2,BH 33,0.5,15.69,1.60,14.20,2.75,8.57
182,,,1.0,15.79,1.61,9.29,6.41,0.81
183,,,2.0,13.63,1.39,7.10,38.96,1.23
184,,,2.5,15.06,1.54,7.92,9.43,1.32
185,,,3.0,14.92,1.52,7.63,50.81,2.27
186,CAMERON - 1,BH 34,0.5,13.66,1.39,11.14,176.40,324.77
187,,,1.0,14.64,1.49,11.73,196.60,383.57
188,,,1.5,16.02,1.63,13.17,213.60,545.16
189,,,2.0,15.83,1.61,12.93,211.60,738.17
190,,,2.5,15.68,1.60,12.82,212.20,946.18
191,,,3.0,14.68,1.50,11.91,214.69,994.62
192,CAMERON - 2,BH 35,0.5,14.80,1.51,12.31,200.30,394.49
193,,,1.0,15.02,1.53,12.42,192.10,636.01
194,,,1.5,15.29,1.56,12.51,214.90,433.60
195,,,2.0,15.48,1.58,12.40,208.40,623.03
196,,,2.5,15.91,1.62,12.58,204.90,386.09
197,,,3.0,15.66,1.60,12.36,188.30,717.29
198,PULAU INDAH - 1,BH 36,0.5,13.66,1.39,13.22,,2493.18
199,,,1.0,14.64,1.49,13.77,,4452.10
200,,,1.5,16.02,1.63,15.53,,4361.24
201,,,2.0,15.83,1.61,14.02,,138.51
202,,,2.5,15.68,1.60,15.48,,4361.24
203,,,3.0,14.68,1.50,9.08,,12.33
204,PEKAN - 1,BH 37,1.0,13.20,1.35,8.39,0.94,24.24
205,,,1.5,12.47,1.27,5.49,3.11,23.87
206,,,2.0,13.50,1.38,6.96,97.40,31.90
207,,,2.5,14.96,1.53,9.19,71.48,32.95
208,,,3.0,15.54,1.58,10.21,38.65,39.59
209,PEKAN - 2,BH 38,1.0,14.26,1.45,8.39,4.40,36.65
210,,,1.5,13.46,1.37,6.80,30.16,17.48
211,,,2.0,14.48,1.48,8.56,6.91,20.37
212,,,2.5,15.55,1.59,9.71,86.41,28.09
213,,,3.0,15.89,1.62,10.82,103.69,35.07
215,DAMANSARA -1,BH 39,1.0,13.72,1.40,11.78,,1593.44
216,,,2.0,13.50,1.38,11.70,,707.13
217,,,3.0,15.54,1.58,13.13,,1134.28
218,DAMANSARA -2,BH 40,1.0,14.84,1.51,12.48,,14458.79
219,,,2.0,14.60,1.49,12.54,,7876.51
220,,,3.0,16.43,1.68,13.53,,3670.76
221,MARANG - 1,BH 41,1.0,15.62,1.59,13.74,,10087.35
222,,,2.0,14.92,1.52,12.93,,481.28
223,,,3.0,15.22,1.55,13.28,,1492.06
,,,,16.61,,,,
