Sample,Location,Borehole,Depth,Liquid Limit,Plastic Limit,Plasticity Index,PI = 0.9 (LL-8),PI = 0.73 (LL-20),Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
74,,,1.0,33.80,23.52,10.28,23.22,10.07,299.24,610.20,20.58
75,,,1.5,30.00,20.87,9.13,19.80,7.30,336.89,769.50,24.55
76,,,2.0,34.40,27.39,7.01,23.76,10.51,364.16,360.16,13.50
77,,,2.5,31.00,21.62,9.38,20.70,8.03,347.83,304.39,28.63
78,,,3.0,46.00,25.89,20.11,34.20,18.98,360.89,224.63,29.97
79,SHAH ALAM - 1,BH 14,0.5,46.00,32.88,13.12,34.20,18.98,20.31,616.12,32.68
80,,,1.0,60.00,36.93,23.07,46.80,29.20,45.26,101.62,64.45
81,,,1.5,56.00,35.29,19.71,43.20,26.28,44.93,44.72,39.05
82,,,2.0,48.00,30.72,17.28,36.00,20.44,96.77,250.57,35.06
83,,,2.5,56.00,41.89,14.11,43.20,26.28,38.03,40.93,53.47
84,,,3.0,60.00,41.51,18.49,46.80,29.20,44.26,48.13,66.32
85,SHAH ALAM - 2,BH 15,0.5,44.00,29.21,14.79,32.40,17.52,167.55,203.75,38.52
86,,,1.0,43.60,25.73,17.87,32.04,17.23,139.39,260.84,52.70
87,,,1.5,55.00,33.68,21.32,42.30,25.55,48.54,55.23,24.16
88,,,2.0,53.00,31.49,21.51,40.50,24.09,118.45,40.54,71.91
89,,,2.5,50.00,31.88,18.12,37.80,21.90,123.87,66.35,33.67
90,,,3.0,45.00,30.21,14.79,33.30,18.25,39.00,46.97,42.08
91,PUNCAK - 1,BH 16,0.5,71.00,36.32,34.68,56.70,37.23,1960.61,2059.67,19.98
92,,,1.0,68.00,43.47,24.53,54.00,35.04,2658.13,2622.00,32.64
93,,,1.5,62.00,34.41,27.59,48.60,30.66,1051.00,1714.05,23.76
94,,,2.0,39.00,20.17,18.33,27.90,13.87,1166.31,1994.47,29.22
95,,,2.5,40.00,23.05,16.95,28.80,14.60,1040.79,1538.49,23.29
96,,,3.0,38.30,18.75,19.55,27.27,13.36,1077.39,1830.37,21.36
97,PUNCAK - 2,BH 17,0.5,54.00,32.74,21.26,41.40,24.82,878.03,2483.99,17.54
98,,,1.0,56.00,32.22,23.78,43.20,26.28,1027.43,2012.40,26.22
99,,,1.5,46.50,26.54,19.96,34.65,19.35,1159.87,1368.26,22.73
100,,,2.0,51.50,28.76,22.74,39.15,23.00,965.85,2020.62,24.50
101,,,2.5,41.50,20.15,21.35,30.15,15.70,996.01,2212.13,26.86
102,,,3.0,38.00,19.53,18.47,27.00,13.14,1012.35,1521.14,19.44
103,HUTAN MELINTANG - 1,BH 18,0.5,71.00,47.29,23.71,56.70,37.23,42.83,162.49,39.22
104,,,1.0,76.00,50.73,25.27,61.20,40.88,29.91,81.37,89.74
105,,,1.5,77.00,53.53,23.47,62.10,41.61,22.07,11.94,122.64
106,,,2.0,82.00,51.75,30.25,66.60,45.26,31.56,7.10,158.46
107,,,2.5,84.00,54.08,29.92,68.40,46.72,40.68,5.31,147.64
108,,,3.0,78.00,47.65,30.35,63.00,42.34,59.22,4.34,134.30
109,HUTAN MELINTANG - 2,BH 19,0.5,69.00,45.99,23.01,54.90,35.77,7.24,166.40,63.41
110,,,1.0,67.00,47.68,19.32,53.10,34.31,19.42,69.11,72.75
111,,,1.5,80.00,53.42,26.58,64.80,43.80,14.28,11.91,126.55
112,,,2.0,85.00,61.02,23.98,69.30,47.45,51.66,7.27,142.88
113,,,2.5,82.00,59.68,22.32,66.60,45.26,27.81,2.60,132.66
114,,,3.0,82.00,51.37,30.63,66.60,45.26,14.08,4.79,141.80
115,KLANG - 1,BH 20,1.0,48.00,31.84,16.16,36.00,20.44,106.39,383.46,41.70
116,,,2.5,78.00,48.10,29.90,63.00,42.34,9.43,12.77,137.47
117,,,3.0,82.00,46.10,35.90,66.60,45.26,6.60,10.22,130.32
118,KLANG - 2,BH 21,1.0,29.00,18.78,10.22,18.90,6.57,88.29,248.02,29.31
119,,,1.5,78.00,51.04,26.96,63.00,42.34,9.90,51.57,162.28
120,,,2.0,68.00,47.09,20.91,54.00,35.04,76.88,22.36,129.61
121,,,2.5,60.50,39.00,21.50,47.25,29.57,56.56,10.43,139.79
122,,,3.0,61.00,36.28,24.72,47.70,29.93,0.66,7.74,146.01
123,SUNGKAI - 1,BH 22,0.5,38.00,24.76,13.24,27.00,13.14,158.67,77.13,14.52
124,,,1.0,44.20,26.48,17.72,32.58,17.67,144.11,448.49,29.96
125,,,1.5,46.00,28.18,17.82,34.20,18.98,241.81,453.49,38.64
126,,,2.0,35.00,27.08,7.92,24.30,10.95,223.63,4738.38,39.20
127,,,2.5,38.00,22.34,15.66,27.00,13.14,192.73,569.62,29.61
128,,,3.0,36.00,26.76,9.24,25.20,11.68,255.82,1328.42,19.00
129,SUNGKAI - 2,BH 23,0.5,53.00,33.17,19.83,40.50,24.09,391.81,489.55,24.96
130,,,1.0,37.80,24.83,12.97,26.82,12.99,423.54,803.87,33.32
131,,,1.5,48.00,29.81,18.19,36.00,20.44,549.16,853.31,32.36
132,,,2.0,45.00,27.34,17.66,33.30,18.25,587.05,493.31,44.89
133,,,2.5,48.00,28.80,19.20,36.00,20.44,606.41,93.64,39.16
134,,,3.0,40.00,31.44,8.56,28.80,14.60,562.73,3488.91,8.26
135,KOTA KUALA MUDA -1,BH 24,0.5,51.00,37.10,13.90,38.70,22.63,9.37,5.48,24.13
136,,,1.0,58.00,37.63,20.37,45.00,27.74,37.12,1.83,71.93
137,,,1.5,64.50,28.29,36.21,50.85,32.49,7.82,0.84,90.87
138,,,2.0,51.00,35.52,15.48,38.70,22.63,24.26,0.72,72.70
139,,,2.5,56.00,39.14,16.86,43.20,26.28,103.25,0.54,110.78
140,,,3.0,52.00,34.28,17.72,39.60,23.36,79.73,0.50,38.01
141,KOTA KUALA MUDA -2,BH 25,0.5,44.00,29.05,14.95,32.40,17.52,23.65,4.59,22.16
142,,,1.0,46.50,31.55,14.95,34.65,19.35,49.37,1.11,82.10
143,,,1.5,63.00,46.82,16.18,49.50,31.39,71.55,0.57,107.52
144,,,2.0,56.00,38.02,17.98,43.20,26.28,60.13,0.46,84.14
145,,,2.5,55.80,36.19,19.61,43.02,26.13,39.24,0.57,55.91
146,,,3.0,43.00,27.19,15.81,31.50,16.79,20.11,0.57,96.77
147,CYBERJAYA -1,,1.0,38.00,24.29,13.71,27.00,13.14,,206.44,24.15
148,,,2.5,40.00,23.21,16.79,28.80,14.60,,61.42,36.15
149,,,3.0,104.00,76.77,27.23,86.40,61.32,,273.39,490.06
150,CYBERJAYA -2,BH 27,0.5,79.00,65.52,16.48,63.90,43.07,,64.17,23.23
151,,,1.0,24.50,18.69,5.81,14.85,3.29,,249.24,221.91
152,,,3.0,24.20,20.54,3.66,14.58,3.07,,60.18,17.55
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,60.00,32.68,27.32,46.80,29.20,,1133.26,33.39
154,,,1.0,60.00,32.89,27.11,46.80,29.20,,3957.42,30.50
155,,,1.5,60.00,33.04,26.96,46.80,29.20,,4660.14,32.12
156,,,2.0,62.00,37.73,24.27,48.60,30.66,,4335.96,23.61
157,,,2.5,64.00,38.02,25.98,50.40,32.12,,777.09,30.59
158,,,3.0,61.00,36.81,24.19,47.70,29.93,,2927.41,25.76
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,65.00,35.18,29.82,51.30,32.85,,1910.48,36.11
160,,,1.0,65.00,34.72,30.28,51.30,32.85,,228.94,33.18
161,,,1.5,68.00,35.98,32.02,54.00,35.04,,6560.99,33.90
162,,,2.0,65.00,33.25,31.75,51.30,32.85,,3196.38,32.69
163,MELAKA - 1,BH 30,0.5,50.00,32.17,17.83,37.80,21.90,168.20,155.02,22.40
164,,,1.0,46.00,26.55,19.45,34.20,18.98,108.08,15.18,74.11
165,,,1.5,55.00,28.29,26.71,42.30,25.55,163.16,8.21,60.77
166,,,2.0,74.00,43.33,30.67,59.40,39.42,607.85,4.40,90.68
167,,,2.5,61.00,36.87,24.13,47.70,29.93,8.80,2.50,96.82
168,,,3.0,66.00,27.37,38.63,52.20,33.58,766.81,2.02,100.43
169,MELAKA - 2,BH 31,0.5,40.00,27.27,12.73,28.80,14.60,19.19,17.57,11.55
170,,,1.0,39.00,21.14,17.86,27.90,13.87,13.06,15.94,24.31
171,,,1.5,68.00,36.41,31.59,54.00,35.04,78.11,4.30,66.59
172,,,2.0,62.00,38.45,23.55,48.60,30.66,24.41,4.61,71.61
173,,,2.5,59.00,41.03,17.97,45.90,28.47,12.84,2.92,87.15
174,,,3.0,61.00,38.48,22.52,47.70,29.93,21.02,1.86,91.72
175,PERLIS - 1,BH 32,0.5,42.00,23.82,18.18,30.60,16.06,2.87,4.14,11.21
176,,,1.0,51.00,28.68,22.32,38.70,22.63,23.03,0.89,71.52
177,,,1.5,47.00,28.29,18.71,35.10,19.71,24.18,1.38,78.56
178,,,2.0,51.00,24.72,26.28,38.70,22.63,3.46,0.45,116.17
179,,,2.5,49.00,27.34,21.66,36.90,21.17,56.16,0.48,76.97
180,,,3.0,41.00,21.28,19.72,29.70,15.33,30.16,0.44,86.30
181,PERLIS - 2,BH 33,0.5,45.00,28.88,16.12,33.30,18.25,2.75,8.57,10.48
