Sample,Location,Borehole,Depth,SPT,Porosity (%),Field resistivity  (ρ),Lab. Resistivity  (ρa),1D inverted resistivity,Moisture content (%),,,
89,,,2.5,4,49.09,123.87,66.35,71.11,33.67,,,
90,,,3.0,4,56.36,39.00,46.97,66.69,42.08,,,
91,PUNCAK - 1,BH 16,0.5,18,41.93,1960.61,2059.67,2204.1,19.98,,,
92,,,1.0,18,51.39,2658.13,2622.00,1869.6,32.64,,,
93,,,1.5,20,38.48,1051.00,1714.05,1444.6,23.76,,,
94,,,2.0,20,42.63,1166.31,1994.47,1189.7,29.22,,,
95,,,2.5,22,38.23,1040.79,1538.49,1054.4,23.29,,,
96,,,3.0,22,39.60,1077.39,1830.37,983,21.36,,,
97,PUNCAK - 2,BH 17,0.5,14,41.79,878.03,2483.99,879,17.54,,,
98,,,1.0,14,50.42,1027.43,2012.40,1048.1,26.22,,,
99,,,1.5,16,39.75,1159.87,1368.26,1069.9,22.73,,,
100,,,2.0,16,42.38,965.85,2020.62,1044.4,24.50,,,
101,,,2.5,18,41.28,996.01,2212.13,1010.8,26.86,,,
102,,,3.0,18,36.49,1012.35,1521.14,980.8,19.44,,,
103,HUTAN MELINTANG - 1,BH 18,0.5,2,62.18,42.83,162.49,43.59,39.22,,,
104,,,1.0,2,73.69,29.91,81.37,26.61,89.74,,,
105,,,1.5,2,77.32,22.07,11.94,26.16,122.64,,,
106,,,2.0,2,80.97,31.56,7.10,31.44,158.46,,,
107,,,2.5,2,80.15,40.68,5.31,37.93,147.64,,,
108,,,3.0,2,78.28,59.22,4.34,44.48,134.30,,,
109,HUTAN MELINTANG - 2,BH 19,0.5,2,70.45,7.24,166.40,9.58,63.41,,,
110,,,1.0,2,68.01,19.42,69.11,15.72,72.75,,,
111,,,1.5,2,78.78,14.28,11.91,19.96,126.55,,,
112,,,2.0,2,80.32,51.66,7.27,22.58,142.88,,,
113,,,2.5,2,77.27,27.81,2.60,24.11,132.66,,,
114,,,3.0,2,79.54,14.08,4.79,24.91,141.80,,,
115,KLANG - 1,BH 20,1.0,1,73.26,106.39,383.46,126.00,41.70,,,
116,,,2.5,3,79.45,9.43,12.77,17.85,137.47,,,
117,,,3.0,5,79.19,6.60,10.22,9.15,130.32,,,
118,KLANG - 2,BH 21,1.0,1,51.56,88.29,248.02,83.36,29.31,,,
119,,,1.5,3,83.59,9.90,51.57,43.00,162.28,,,
120,,,2.0,3,77.68,76.88,22.36,20.36,129.61,,,
121,,,2.5,3,79.55,56.56,10.43,9.42,139.79,,,
122,,,3.0,5,81.02,0.66,7.74,4.48,146.01,,,
123,SUNGKAI - 1,BH 22,0.5,2,52.15,158.67,77.13,154.00,14.52,,,
124,,,1.0,2,57.87,144.11,448.49,167.90,29.96,,,
125,,,1.5,3,53.29,241.81,453.49,194.50,38.64,,,
126,,,2.0,4,57.00,223.63,4738.38,214.90,39.20,,,
127,,,2.5,5,48.09,192.73,569.62,229.80,29.61,,,
128,,,3.0,5,43.29,255.82,1328.42,240.90,19.00,,,
129,SUNGKAI - 2,BH 23,0.5,2,61.87,391.81,489.55,386.30,24.96,,,
130,,,1.0,2,63.02,423.54,803.87,456.80,33.32,,,
131,,,1.5,3,54.52,549.16,853.31,518.60,32.36,,,
132,,,2.0,4,56.13,587.05,493.31,559.30,44.89,,,
133,,,2.5,5,56.23,606.41,93.64,586.30,39.16,,,
134,,,3.0,5,41.32,562.73,3488.91,605.10,8.26,,,
135,KOTA KUALA MUDA -1,BH 24,0.5,6,48.04,9.37,5.48,11.88,24.13,,,
136,,,1.0,4,68.98,37.12,1.83,18.89,71.93,,,
137,,,1.5,4,70.58,7.82,0.84,27.27,90.87,,,
138,,,2.0,2,67.45,24.26,0.72,35.68,72.70,,,
139,,,2.5,2,74.96,103.25,0.54,43.92,110.78,,,
140,,,3.0,2,61.10,79.73,0.50,51.94,38.01,,,
141,KOTA KUALA MUDA -2,BH 25,0.5,6,39.84,23.65,4.59,34.10,22.16,,,
142,,,1.0,5,70.40,49.37,1.11,46.84,82.10,,,
143,,,1.5,4,74.85,71.55,0.57,48.37,107.52,,,
144,,,2.0,4,70.78,60.13,0.46,44.16,84.14,,,
145,,,2.5,2,66.82,39.24,0.57,37.99,55.91,,,
146,,,3.0,2,71.50,20.11,0.57,31.75,96.77,,,
147,CYBERJAYA -1,,1.0,9,49.51,,206.44,7.25,24.15,,,
148,,,2.5,3,58.86,,61.42,14.60,36.15,,,
149,,,3.0,3,92.26,,273.39,110.00,490.06,,,
150,CYBERJAYA -2,BH 27,0.5,2,44.27,,64.17,130.00,23.23,,,
151,,,1.0,5,78.92,,249.24,120.00,221.91,,,
152,,,3.0,4,42.59,,60.18,14.00,17.55,,,
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,15,53.58,,1133.26,750.00,33.39,,,
154,,,1.0,16,51.22,,3957.42,800.00,30.50,,,
155,,,1.5,18,50.14,,4660.14,830.00,32.12,,,
156,,,2.0,20,41.88,,4335.96,850.00,23.61,,,
157,,,2.5,22,52.86,,777.09,900.00,30.59,,,
158,,,3.0,24,45.38,,2927.41,920.00,25.76,,,
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,8,59.34,,1910.48,818.00,36.11,,,
160,,,1.0,12,54.83,,228.94,1146.00,33.18,,,
161,,,1.5,15,52.74,,6560.99,1600.00,33.90,,,
162,,,2.0,19,53.19,,3196.38,2200.00,32.69,,,
163,MELAKA - 1,BH 30,0.5,3,45.27,168.20,155.02,159.00,22.40,,,
164,,,1.0,3,66.61,108.08,15.18,118.90,74.11,,,
165,,,1.5,4,64.80,163.16,8.21,134.80,60.77,,,
166,,,2.0,4,73.96,607.85,4.40,145.80,90.68,,,
167,,,2.5,4,73.53,8.80,2.50,152.90,96.82,,,
168,,,3.0,4,74.96,766.81,2.02,157.80,100.43,,,
169,MELAKA - 2,BH 31,0.5,3,31.69,19.19,17.57,19.10,11.55,,,
170,,,1.0,3,38.34,13.06,15.94,24.76,24.31,,,
171,,,1.5,4,66.76,78.11,4.30,26.07,66.59,,,
172,,,2.0,4,66.74,24.41,4.61,24.63,71.61,,,
173,,,2.5,4,71.90,12.84,2.92,22.19,87.15,,,
174,,,3.0,4,72.71,21.02,1.86,19.63,91.72,,,
175,PERLIS - 1,BH 32,0.5,5,44.14,2.87,4.14,5.51,11.21,,,
176,,,1.0,4,66.75,23.03,0.89,9.66,71.52,,,
177,,,1.5,4,68.15,24.18,1.38,13.73,78.56,,,
178,,,2.0,3,75.76,3.46,0.45,17.53,116.17,,,
179,,,2.5,3,69.87,56.16,0.48,21.08,76.97,,,
180,,,3.0,3,71.59,30.16,0.44,24.39,86.30,,,
181,PERLIS - 2,BH 33,0.5,5,46.41,2.75,8.57,5.44,10.48,,,
182,,,1.0,4,64.95,6.41,0.81,10.02,69.99,,,
183,,,2.0,3,73.19,38.96,1.23,19.40,91.86,,,
184,,,2.5,3,70.10,9.43,1.32,23.93,90.02,,,
185,,,3.0,3,71.21,50.81,2.27,28.36,95.65,,,
186,CAMERON - 1,BH 34,0.5,3,57.96,176.40,324.77,176.30,22.63,,,
187,,,1.0,3,55.75,196.60,383.57,198.60,24.88,,,
188,,,1.5,4,50.30,213.60,545.16,209.70,21.63,,,
189,,,2.0,5,51.22,211.60,738.17,213.20,22.45,,,
190,,,2.5,5,51.63,212.20,946.18,213.80,22.34,,,
191,,,3.0,5,55.05,214.69,994.62,213.40,23.24,,,
192,CAMERON - 2,BH 35,0.5,5,53.55,200.30,394.49,200.20,20.23,,,
193,,,1.0,3,53.13,192.10,636.01,193.00,20.92,,,
194,,,1.5,5,52.81,214.90,433.60,211.80,22.23,,,
195,,,2.0,5,53.20,208.40,623.03,212.30,24.84,,,
196,,,2.5,6,52.53,204.90,386.09,202.50,26.50,,,
197,,,3.0,6,53.37,188.30,717.29,188.90,26.69,,,
198,PULAU INDAH - 1,BH 36,0.5,2,50.12,,2493.18,3500.00,3.36,,,
199,,,1.0,2,48.03,,4452.10,944.00,6.32,,,
200,,,1.5,2,41.40,,4361.24,26.00,3.16,,,
201,,,2.0,2,47.09,,138.51,65.80,12.89,,,
202,,,2.5,2,41.57,,4361.24,15.00,1.28,,,
203,,,3.0,2,65.73,,12.33,4.58,61.63,,,
204,PEKAN - 1,BH 37,1.0,2,68.34,0.94,24.24,8.02,57.34,,,
205,,,1.5,2,79.30,3.11,23.87,11.80,127.30,,,
206,,,2.0,2,73.73,97.40,31.90,15.63,93.90,,,
207,,,2.5,2,65.33,71.48,32.95,19.44,62.87,,,
208,,,3.0,2,61.48,38.65,39.59,23.22,52.22,,,
209,PEKAN - 2,BH 38,1.0,2,68.35,4.40,36.65,20.69,69.97,,,
210,,,1.5,2,74.36,30.16,17.48,30.42,98.03,,,
211,,,2.0,2,67.69,6.91,20.37,40.28,69.10,,,
212,,,2.5,2,63.34,86.41,28.09,50.09,60.04,,,
213,,,3.0,2,59.16,103.69,35.07,59.80,46.77,,,
215,DAMANSARA -1,BH 39,1.0,6,57.24,,1593.44,1726.00,16.48,,,
216,,,2.0,7,55.85,,707.13,686.00,15.38,,,
217,,,3.0,10,50.47,,1134.28,432.00,18.39,,,
218,DAMANSARA -2,BH 40,1.0,6,54.78,,14458.79,980.00,18.95,,,
219,,,2.0,9,53.09,,7876.51,750.00,16.46,,,
220,,,3.0,10,50.62,,3670.76,430.00,21.40,,,
221,MARANG - 1,BH 41,1.0,45,48.14,,10087.35,,13.63,,,
222,,,2.0,45,51.20,,481.28,,15.34,,,
223,,,3.0,45,49.88,,1492.06,,14.57,,,
223,MUAR - 1,BH 42,1.0,2,69.43,,,44.29,,,,
224,,,2.0,2,75.35,,,35.94,,,,
