Sample,Location,Borehole,Depth,1D inverted resistivity,2D inverted resistivity,Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
94,,,2.0,1189.7,1189.7,1166.31,1994.47,29.22
95,,,2.5,1054.4,1054.4,1040.79,1538.49,23.29
96,,,3.0,983,983,1077.39,1830.37,21.36
97,PUNCAK - 2,BH 17,0.5,879,879,878.03,2483.99,17.54
98,,,1.0,1048.1,1048.1,1027.43,2012.40,26.22
99,,,1.5,1069.9,1069.9,1159.87,1368.26,22.73
100,,,2.0,1044.4,1044.4,965.85,2020.62,24.50
101,,,2.5,1010.8,1010.8,996.01,2212.13,26.86
102,,,3.0,980.8,980.8,1012.35,1521.14,19.44
103,HUTAN MELINTANG - 1,BH 18,0.5,43.59,45.00,42.83,162.49,39.22
104,,,1.0,26.61,16.60,29.91,81.37,89.74
105,,,1.5,26.16,10.00,22.07,11.94,122.64
106,,,2.0,31.44,6.00,31.56,7.10,158.46
107,,,2.5,37.93,5.00,40.68,5.31,147.64
108,,,3.0,44.48,1.97,59.22,4.34,134.30
109,HUTAN MELINTANG - 2,BH 19,0.5,9.58,48.10,7.24,166.40,63.41
110,,,1.0,15.72,16.60,19.42,69.11,72.75
111,,,1.5,19.96,8.00,14.28,11.91,126.55
112,,,2.0,22.58,5.00,51.66,7.27,142.88
113,,,2.5,24.11,3.36,27.81,2.60,132.66
114,,,3.0,24.91,1.97,14.08,4.79,141.80
115,KLANG - 1,BH 20,1.0,126.00,55.30,106.39,383.46,41.70
116,,,2.5,17.85,3.00,9.43,12.77,137.47
117,,,3.0,9.15,2.75,6.60,10.22,130.32
118,KLANG - 2,BH 21,1.0,83.36,40.00,88.29,248.02,29.31
119,,,1.5,43.00,25.00,9.90,51.57,162.28
120,,,2.0,20.36,12.36,76.88,22.36,129.61
121,,,2.5,9.42,6.50,56.56,10.43,139.79
122,,,3.0,4.48,3.00,0.66,7.74,146.01
123,SUNGKAI - 1,BH 22,0.5,154.00,167.00,158.67,77.13,14.52
124,,,1.0,167.90,200.00,144.11,448.49,29.96
125,,,1.5,194.50,370.00,241.81,453.49,38.64
126,,,2.0,214.90,540.00,223.63,4738.38,39.20
127,,,2.5,229.80,551.00,192.73,569.62,29.61
128,,,3.0,240.90,600.00,255.82,1328.42,19.00
129,SUNGKAI - 2,BH 23,0.5,386.30,400.00,391.81,489.55,24.96
130,,,1.0,456.80,450.00,423.54,803.87,33.32
131,,,1.5,518.60,470.00,549.16,853.31,32.36
132,,,2.0,559.30,500.00,587.05,493.31,44.89
133,,,2.5,586.30,530.00,606.41,93.64,39.16
