Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
172,,,2.0,43.00,37.00,20.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,24.63,4.61,71.61,,,,,,,,,,,,,
173,,,2.5,38.00,37.00,25.00,2.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,22.19,2.92,87.15,,,,,,,,,,,,,
174,,,3.0,48.00,34.00,18.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,19.63,1.86,91.72,,,,,,,,,,,,,
175,PERLIS - 1,BH 32,0.5,37.00,33.00,30.00,0.00,0.000,0.000,0.018,#DIV/0!,#DIV/0!,5.51,4.14,11.21,,,,,,,,,,,,,
176,,,1.0,42.00,38.00,20.00,0.00,0.000,0.000,0.016,#DIV/0!,#DIV/0!,9.66,0.89,71.52,,,,,,,,,,,,,
177,,,1.5,34.00,36.00,30.00,0.00,0.000,0.000,0.028,#DIV/0!,#DIV/0!,13.73,1.38,78.56,,,,,,,,,,,,,
178,,,2.0,38.00,33.00,29.00,0.00,0.000,0.000,0.020,#DIV/0!,#DIV/0!,17.53,0.45,116.17,,,,,,,,,,,,,
179,,,2.5,37.00,35.00,28.00,0.00,0.000,0.000,0.026,#DIV/0!,#DIV/0!,21.08,0.48,76.97,,,,,,,,,,,,,
180,,,3.0,33.00,37.00,30.00,0.00,0.000,0.000,0.036,#DIV/0!,#DIV/0!,24.39,0.44,86.30,,,,,,,,,,,,,
181,PERLIS - 2,BH 33,0.5,33.00,27.00,40.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,5.44,8.57,10.48,,,,,,,,,,,,,
182,,,1.0,43.00,39.00,18.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,10.02,0.81,69.99,,,,,,,,,,,,,
184,,,2.0,43.00,37.00,20.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,19.40,1.23,91.86,,,,,,,,,,,,,
185,,,2.5,32.00,38.00,30.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,23.93,1.32,90.02,,,,,,,,,,,,,
186,,,3.0,40.00,39.00,21.00,0.00,0.00,0.00,0.02,#DIV/0!,#DIV/0!,28.36,2.27,95.65,,,,,,,,,,,,,
187,CAMERON - 1,BH 34,0.5,3.00,11.00,86.00,0.00,0.010,0.074,0.100,10.00,5.48,176.30,324.77,22.63,,,,,,,,,,,,,
188,,,1.0,4.00,20.00,76.00,0.00,0.006,0.066,0.092,15.33,7.89,198.60,383.57,24.88,,,,,,,,,,,,,
189,,,1.5,4.00,15.00,81.00,0.00,0.007,0.070,0.095,13.57,7.37,209.70,545.16,21.63,,,,,,,,,,,,,
190,,,2.0,4.00,14.00,82.00,0.00,0.008,0.070,0.096,12.00,6.38,213.20,738.17,22.45,,,,,,,,,,,,,
191,,,2.5,3.00,11.00,86.00,0.00,0.014,0.073,0.100,7.14,3.81,213.80,946.18,22.34,,,,,,,,,,,,,
192,,,3.0,4.00,14.00,82.00,0.00,0.007,0.070,0.095,13.57,7.37,213.40,994.62,23.24,,,,,,,,,,,,,
193,CAMERON - 2,BH 35,0.5,5.00,10.00,85.00,0.00,0.01,0.07,0.10,9.80,5.29,200.20,394.49,20.23,,,,,,,,,,,,,
194,,,1.0,4.00,11.00,85.00,0.00,0.01,0.07,0.10,8.00,4.50,193.00,636.01,20.92,,,,,,,,,,,,,
195,,,1.5,0.00,20.00,80.00,0.00,0.01,0.07,0.10,11.88,6.45,211.80,433.60,22.23,,,,,,,,,,,,,
196,,,2.0,4.00,13.00,83.00,0.00,0.01,0.07,0.10,9.70,5.05,212.30,623.03,24.84,,,,,,,,,,,,,
197,,,2.5,4.00,18.00,78.00,0.00,0.01,0.07,0.10,13.57,6.95,202.50,386.09,26.50,,,,,,,,,,,,,
198,,,3.0,4.00,15.00,81.00,0.00,0.01,0.07,0.10,13.71,7.29,188.90,717.29,26.69,,,,,,,,,,,,,
199,PULAU INDAH - 1,BH 36,0.5,0.00,0.00,100.00,0.00,0.160,0.210,0.270,1.69,1.02,3500.00,2493.18,3.36,,,,,,,,,,,,,
200,,,1.0,0.00,0.00,100.00,0.00,0.160,0.200,0.240,1.50,1.04,944.00,4452.10,6.32,,,,,,,,,,,,,
201,,,1.5,0.00,0.00,100.00,0.00,0.190,0.240,0.300,1.58,1.01,26.00,4361.24,3.16,,,,,,,,,,,,,
202,,,2.0,0.00,0.00,100.00,0.00,0.160,0.210,0.270,1.69,1.02,65.80,138.51,12.89,,,,,,,,,,,,,
203,,,2.5,0.00,0.00,100.00,0.00,0.180,0.230,0.290,1.61,1.01,15.00,4361.24,1.28,,,,,,,,,,,,,
204,,,3.0,0.00,0.00,100.00,0.00,0.180,0.240,0.330,1.83,0.97,4.58,12.33,61.63,,,,,,,,,,,,,
205,PEKAN - 1,BH 37,1.0,39.00,39.00,22.00,0.00,0.000,0.000,0.036,#DIV/0!,#DIV/0!,8.02,24.24,57.34,,,,,,,,,,,,,
206,,,1.5,23.00,37.00,40.00,0.00,0.000,0.000,0.050,#DIV/0!,#DIV/0!,11.80,23.87,127.30,,,,,,,,,,,,,
207,,,2.0,30.00,42.00,28.00,0.00,0.000,0.002,0.035,#DIV/0!,#DIV/0!,15.63,31.90,93.90,,,,,,,,,,,,,
208,,,2.5,30.00,40.00,30.00,0.00,0.000,0.002,0.042,#DIV/0!,#DIV/0!,19.44,32.95,62.87,,,,,,,,,,,,,
209,,,3.0,23.00,32.00,45.00,0.00,0.000,0.004,0.075,#DIV/0!,#DIV/0!,23.22,39.59,52.22,,,,,,,,,,,,,
210,PEKAN - 2,BH 38,1.0,43.00,30.00,27.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,20.69,36.65,69.97,,,,,,,,,,,,,
211,,,1.5,28.00,42.00,30.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,30.42,17.48,98.03,,,,,,,,,,,,,
212,,,2.0,32.00,28.00,40.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,40.28,20.37,69.10,,,,,,,,,,,,,
213,,,2.5,32.00,28.00,40.00,0.00,0.00,0.00,0.05,#DIV/0!,#DIV/0!,50.09,28.09,60.04,,,,,,,,,,,,,
214,,,3.0,23.00,30.00,47.00,0.00,0.00,0.01,0.07,#DIV/0!,#DIV/0!,59.80,35.07,46.77,,,,,,,,,,,,,
215,DAMANSARA -1,BH 39,1.0,28.00,17.00,55.00,0.00,0.000,0.050,1.100,#DIV/0!,#DIV/0!,,1593.44,,,,,,,,,,,,,,
216,,,2.0,28.00,20.00,52.00,0.00,0.000,0.003,0.005,#DIV/0!,#DIV/0!,,707.13,,,,,,,,,,,,,,
217,,,3.0,26.00,11.00,63.00,0.00,0.000,0.000,0.003,#DIV/0!,#DIV/0!,,1134.28,,,,,,,,,,,,,,
218,DAMANSARA -2,BH 40,1.0,23.00,13.00,64.00,0.00,0.00,0.00,0.06,#DIV/0!,#DIV/0!,,14458.79,,,,,,,,,,,,,,
219,,,2.0,12.00,12.00,76.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,,7876.51,,,,,,,,,,,,,,
220,,,3.0,48.00,34.00,18.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,,3670.76,,,,,,,,,,,,,,
221,MARANG - 1,BH 41,1.0,4.00,26.00,70.00,0.00,0.009,0.050,0.230,25.56,1.21,,10087.35,,,,,,,,,,,,,,
222,,,2.0,28.00,20.00,52.00,0.00,0.008,0.027,0.200,25.00,0.46,,481.28,,,,,,,,,,,,,,
223,,,3.0,26.00,11.00,63.00,0.00,0.008,0.019,0.450,56.25,0.10,,1492.06,,,,,,,,,,,,,,
