Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
39,,,1.5,5.65,3.15,91.10,0.10,0.40,0.70,1.23,3.08,1.00,184.3,5918.24,21.53,SP-SM,,,,,,,,,,,,
40,,,2.0,7.26,2.64,90.00,0.10,0.20,0.70,1.13,5.65,2.17,183.7,706.95,19.12,SP-SM,,,,,,,,,,,,
41,,,2.5,5.65,3.45,90.40,0.00,0.42,0.70,1.10,2.62,1.06,173.8,607.94,13.34,SP-SM,,,,,,,,,,,,
42,,,3.0,18.00,32.00,50.00,0.00,0.00,0.01,1.14,1036.36,0.02,160.5,3430.98,25.32,MH,,,,,,,,,,,,
43,TRONOH -1,BH 8,0.5,12.91,7.09,80.00,0.00,0.001,0.060,0.200,200.00,18.00,434.6,534.35,19.84,SC,,,,,,,,,,,,
44,,,1.0,7.26,4.74,88.00,0.00,0.003,0.120,0.320,106.67,15.00,444.5,920.59,27.82,SP-SM,,,,,,,,,,,,
45,,,1.5,11.30,3.23,85.47,0.00,0.001,0.175,0.410,410.00,74.70,484.9,880.46,14.40,SC,,,,,,,,,,,,
46,,,2.0,23.40,18.57,58.03,0.00,0.000,0.012,0.077,#DIV/0!,#DIV/0!,543.5,1091.90,16.25,SC,,,,,,,,,,,,
47,,,2.5,16.95,8.07,74.98,0.00,0.000,0.053,0.170,#DIV/0!,#DIV/0!,601.4,1137.57,23.84,SC,,,,,,,,,,,,
48,,,3.0,23.40,11.60,65.00,0.00,0.000,0.040,0.136,#DIV/0!,#DIV/0!,652.8,1429.85,13.44,SC,,,,,,,,,,,,
49,TRONOH -2,BH 9,0.5,14.53,5.47,80.00,0.00,0.00,0.06,0.18,#DIV/0!,#DIV/0!,834.5,527.39,27.35,SC,,,,,,,,,,,,
50,,,1.0,4.04,4.84,91.12,0.00,0.06,0.10,0.26,4.73,0.70,901.8,2474.62,13.92,SP-SC,,,,,,,,,,,,
51,,,1.5,20.00,10.00,70.00,0.00,0.00,0.05,0.22,#DIV/0!,#DIV/0!,804.5,955.85,13.04,SC,,,,,,,,,,,,
52,,,2.0,26.63,16.14,57.23,0.00,0.00,0.01,0.08,#DIV/0!,#DIV/0!,696.2,875.57,14.51,SC,,,,,,,,,,,,
53,,,2.5,2.42,2.48,95.10,0.00,0.16,0.35,0.68,4.25,1.13,612.7,2153.93,14.81,SP,,,,,,,,,,,,
54,,,3.0,25.83,7.26,66.91,0.00,0.00,0.01,0.08,#DIV/0!,#DIV/0!,554.5,624.60,14.25,SC,,,,,,,,,,,,
55,SELAYANG -1,BH 10,0.5,24.00,23.05,52.95,0.00,0.000,0.005,0.090,#DIV/0!,#DIV/0!,71.64,112.90,18.03,SC,,,,,,,,,,,,
56,,,1.0,20.00,17.31,62.69,0.00,0.000,0.008,0.200,#DIV/0!,#DIV/0!,63.88,84.51,20.28,SC,,,,,,,,,,,,
