Sample,Location,Borehole,Depth,pH,TOC,Field conductivity,Lab conductivity,Field resistivity  (ρ),Lab. Resistivity  (ρa)
196,,,2.0,4.11,0.10,4.80,1.61,208.40,623.03
197,,,2.5,4.27,0.13,4.88,2.59,204.90,386.09
198,,,3.0,4.08,0.06,5.31,1.39,188.30,717.29
199,PULAU INDAH - 1,BH 36,0.5,7.95,1.55,#DIV/0!,0.40,,2493.18
200,,,1.0,8.15,0.45,#DIV/0!,0.22,,4452.10
201,,,1.5,5.94,0.65,#DIV/0!,0.23,,4361.24
202,,,2.0,6.79,0.53,#DIV/0!,7.22,,138.51
203,,,2.5,5.95,0.23,#DIV/0!,0.23,,4361.24
204,,,3.0,6.48,0.19,#DIV/0!,81.10,,12.33
205,PEKAN - 1,BH 37,1.0,3.50,4.92,1060.90,41.25,0.94,24.24
206,,,1.5,3.40,22.59,321.48,41.90,3.11,23.87
207,,,2.0,3.39,4.87,10.27,31.35,97.40,31.90
208,,,2.5,3.42,2.83,13.99,30.35,71.48,32.95
209,,,3.0,4.14,2.49,25.88,25.26,38.65,39.59
210,PEKAN - 2,BH 38,1.0,3.73,3.32,227.33,27.29,4.40,36.65
211,,,1.5,3.51,4.65,33.15,57.22,30.16,17.48
212,,,2.0,3.57,3.61,144.67,49.10,6.91,20.37
213,,,2.5,3.59,4.70,11.57,35.60,86.41,28.09
214,,,3.0,3.61,3.10,9.64,28.51,103.69,35.07
215,DAMANSARA -1,BH 39,1.0,,,,0.63,,1593.44
216,,,2.0,,,,1.41,,707.13
217,,,3.0,,,,0.88,,1134.28
218,DAMANSARA -2,BH 40,1.0,,,,0.07,,14458.79
219,,,2.0,,,,0.13,,7876.51
220,,,3.0,,,,0.27,,3670.76
221,MARANG - 1,BH 41,1.0,,,,0.10,,10087.35
222,,,2.0,,,,2.08,,481.28
223,,,3.0,,,,0.67,,1492.06
223,MUAR - 1,BH 42,1.0,,,,,,
224,,,2.0,,,,,,
